,p158,p159,p160,p23,p24
r179,-14697.22363,-30680.41016,-10615.98301,-8377.116992,-4719.144092
r180,2264.662012,1760.438721,211.0762268,2460.491309,351.8312653
r181,70683446938,35952478873,6284213451,59516896328,4027946929
r182,9.107130737,6.87250447,7.131077619,9.138290929,7.514159146
r183,10807.81565,13072.05664,5719.024323,5752.421478,2200.995071
r184,2.112739087,2.576470094,2.438023425,3.540353017,7.449461664
r185,7749.500977,7807.535156,1307.354858,9910.96875,1607.272339
r186,5612.575419,9111.730516,3412.629266,3476.498663,1672.84162
r187,-5746.62858,-12325.79341,-4392.22153,-2758.743465,-1749.877025
r188,-5229.944336,-10753.30566,-3319.119751,-2498.052246,-1126.524475
r189,-21315.08008,-40186.48047,-14994.97754,-20553.64453,-13792.41895
r190,29064.58105,47994.01563,16302.3324,30464.61328,15399.69128
r191,4336.840139,6352.498651,2519.128341,2369.426724,975.9754161
r192,8727.399812,16825.29004,6009.672974,5228.666274,2915.094909
r193,-0.243703945,-0.521981186,-0.692917519,-0.326826513,-1.867131611
r194,3.07227E+12,3.51603E+12,3.12727E+11,2.96952E+12,2.17373E+11
r195,0.002085501,0.008866018,0.007662835,0.002112746,0.006676281
r196,43143767.44,131165201.6,16824559.28,19728285.5,5435708.728
r197,-11862.79951,-25463.77852,-8862.485352,-7050.289746,-3622.115503
r198,2483.198486,2342.318457,645.996698,2603.77334,643.7667419
r199,45371395342,22671506824,4052129966,42091039149,2610974365
r200,8.911089065,6.888252502,7.0490968,8.962353949,7.446751454
r201,9179.777603,11058.03711,5074.332794,4939.741272,2008.644142
r202,2.200573924,2.726169777,2.418739347,3.646634431,7.541831782
r203,8086.170898,7824.385254,1720.882324,9314.694336,1852.047974
r204,4743.322211,7590.642402,2960.952337,3032.080448,1422.539123
r205,-4219.027438,-9229.851073,-3293.689219,-2059.036857,-1278.944263
r206,-3602.296631,-7998.026855,-2340.505371,-1756.539917,-796.9802551
r207,-19061.00195,-31566.55469,-12713.10059,-17830.19922,-12207.55566
r208,27147.17285,39390.93994,14433.98291,27144.89355,14059.60364
r209,3642.593607,5147.471407,2186.40177,2058.517608,859.2046789
r210,6992.252127,13360.98057,4825.774886,4397.092577,2346.994831
